Date,Shares Outstanding,Rate of Change (%)
2021-05-30,4313.549450549451,0.0010190329886583527
2021-05-31,4313.593406593406,0.0010190226044537454
2021-06-01,4313.6373626373625,0.0010190122205155916
2021-06-02,4313.681318681319,0.0010190018367550735
2021-06-03,4313.725274725275,0.0010189914532166
2021-06-04,4313.7692307692305,0.0010189810698557622
2021-06-05,4313.813186813187,0.001018970686761378
2021-06-06,4313.857142857143,0.0010189603038668338
2021-06-07,4313.9010989010985,0.0010189499211499253
2021-06-08,4313.945054945055,0.001018939538677266
2021-06-09,4313.989010989011,0.0010189291564044467
2021-06-10,4314.0329670329675,0.001018918774353672
2021-06-11,4314.076923076923,0.0010189083924805331
2021-06-12,4314.120879120879,0.0010188980108516432
2021-06-13,4314.1648351648355,0.001018887629444798
2021-06-14,4314.208791208791,0.0010188772481933839
2021-06-15,4314.252747252747,0.0010188668672306278
2021-06-16,4314.2967032967035,0.001018856486423303
2021-06-17,4314.340659340659,0.0010188461058380227
2021-06-18,4314.384615384615,0.001018835725474787
2021-06-19,4314.428571428572,0.001018825345333596
2021-06-20,4314.472527472528,0.0010188149653700407
2021-06-21,4314.516483516483,0.00101880458562853
2021-06-22,4314.56043956044,0.0010187942061312683
2021-06-23,4314.604395604396,0.0010187838268116423
2021-06-24,4314.648351648351,0.0010187734476918564
2021-06-25,4314.692307692308,0.0010187630688163196
2021-06-26,4314.736263736264,0.001018752690140623
2021-06-27,4314.780219780219,0.0010187423116647665
2021-06-28,4314.824175824176,0.001018731933433159
2021-06-29,4314.868131868132,0.0010187215554013918
2021-06-30,4314.912087912088,0.0010187111775694646
2021-07-01,4314.956043956044,0.0010187007999151731
2021-07-02,4315.0,0.0010186904225273352
2021-07-03,4315.043956043956,0.0010186800453393374
2021-07-04,4315.087912087912,0.0010186696683289753
2021-07-05,4315.131868131868,0.0010186592915850667
2021-07-06,4315.175824175824,0.0010186489150187938
2021-07-07,4315.219780219781,0.0010186385386745656
2021-07-08,4315.263736263736,0.001018628162507973
2021-07-09,4315.307692307692,0.0010186177866078339
2021-07-10,4315.351648351649,0.0010186074108853305
2021-07-11,4315.395604395604,0.0010185970353626672
2021-07-12,4315.43956043956,0.001018586660084253
2021-07-13,4315.483516483517,0.001018576285005679
2021-07-14,4315.527472527472,0.0010185659101047406
2021-07-15,4315.571428571428,0.0010185555354702558
2021-07-16,4315.615384615385,0.001018545161035611
2021-07-17,4315.659340659341,0.001018534786778602
2021-07-18,4315.7032967032965,0.0010185244127436377
2021-07-19,4315.747252747253,0.0010185140389529224
2021-07-20,4315.791208791209,0.0010185036653398427
2021-07-21,4315.8351648351645,0.0010184932919266032
2021-07-22,4315.879120879121,0.0010184829187798172
2021-07-23,4315.923076923077,0.001018472545810667
2021-07-24,4315.9670329670325,0.0010184621730191523
2021-07-25,4316.010989010989,0.0010184518004940912
2021-07-26,4316.054945054945,0.0010184414281688703
2021-07-27,4316.0989010989015,0.0010184310560434895
2021-07-28,4316.142857142857,0.0010184206841179488
2021-07-29,4316.186813186813,0.0010184103124366573
2021-07-30,4316.2307692307695,0.0010183999409330013
